网站名称 爬虫名称 灾害名称 运行状态(1/0) 爬取频率(h) 爬取延迟(s) 并发数(线程数) 网站链接
央视新闻 stormSurge_ZH005 风暴潮 1 6 5 6 https://search.cctv.com/search.php?qtext=%E9%A3%8E%E6%9A%B4%E6%BD%AE&type=web
中国海洋预报网 tsunami_ZH001 海啸 1 6 5 6 http://www.oceanguide.org.cn/hyyj/map/boreList.htm?type=bore
百度新闻 tsunami_ZH002 海啸 1 6 5 6 https://www.baidu.com/s?tn=news&rtt=1&bsst=1&cl=2&wd=%E6%B5%B7%E5%95%B8&medium=0
大众网 tsunami_ZH003 海啸 1 6 5 6 http://so.dzwww.com/web/search?searchscope=DOCTITLE&timescope=&timescopecolumn=&orderby=LIFO&channelid=205667&andsen=&total=&orsen=&exclude=&searchword=%E6%B5%B7%E5%95%B8&perpage=&templet=&token=&timeline=
新浪新闻 tsunami_ZH004 海啸 0 6 5 6 https://search.sina.com.cn/?q=%BA%A3%D0%A5&range=title&c=news&sort=time
央视新闻 tsunami_ZH005 海啸 1 6 5 6 https://search.cctv.com/search.php?qtext=%E6%B5%B7%E5%95%B8&type=web
中央气象台台风网 typhoon_ZH001 台风 1 6 5 6 http://typhoon.nmc.cn/weatherservice/typhoon/jsons/list_2019?t=1557472608958&callback=typhoon_jsons_list_2019
新浪新闻 typhoon_ZH002 台风 0 6 5 6 https://search.sina.com.cn/?q=%CC%A8%B7%E7%D4%D6%BA%A6&range=title&c=news&sort=time
大众网 typhoon_ZH003 台风 1 6 5 6 http://so.dzwww.com/web/search?searchscope=DOCTITLE&timescope=&timescopecolumn=&orderby=LIFO&channelid=205667&andsen=&total=&orsen=&exclude=&searchword=%E5%8F%B0%E9%A3%8E&perpage=&templet=&token=&timeline=
天气网 typhoon_ZH004 台风 1 6 5 6 http://www.tianqi.com/tag/%CC%A8%B7%E7%D7%EE%D0%C2%CF%FB%CF%A2/
百度新闻 typhoon_ZH005 台风 1 6 5 6 https://www.baidu.com/s?rtt=1&bsst=1&cl=undefined&tn=news&rsv_dl=ns_pc&word=%E5%8F%B0%E9%A3%8E%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF&x_bfe_rqs=03E80&x_bfe_tjscore=0.001476&tngroupname=organic_news&pn=0
防灾网 landslide_ZH001 滑坡 1 6 5 6 http://www.cibeicn.com/topic/list.aspx?key=%E6%BB%91%E5%9D%A1
百度新闻 landslide_ZH002 滑坡 1 6 5 6 https://www.baidu.com/s?rtt=1&bsst=1&cl=2&tn=news&rsv_dl=ns_pc&word=%E6%BB%91%E5%9D%A1
大众网 landslide_ZH003 滑坡 1 6 5 6 http://so.dzwww.com/web/search?searchscope=DOCTITLE&timescope=&timescopecolumn=&orderby=LIFO&channelid=205667&andsen=&total=&orsen=&exclude=&searchword=%E5%B1%B1%E4%BD%93%E6%BB%91%E5%9D%A1&perpage=&templet=&token=&timeline=
新浪新闻 landslide_ZH004 滑坡 0 6 5 6 https://search.sina.com.cn/?q=%C9%BD%CC%E5%BB%AC%C6%C2&range=title&c=news&sort=time
天气网 landslide_ZH005 滑坡 1 6 5 6 http://www.tianqi.com/tag/%C9%BD%CC%E5/
央视新闻 landslide_ZH006 滑坡 1 6 5 6 https://search.cctv.com/search.php?qtext=%E6%BB%91%E5%9D%A1&type=web
防灾网 rainstorm_ZH001 暴雨 1 6 5 6 http://www.cibeicn.com/topic/list.aspx?key=%E6%9A%B4%E9%9B%A8&pageIndex=1
气象科普网 rainstorm_ZH002 暴雨 1 6 5 6 http://www.qxkp.net/zhfy/byhl/
百度新闻 rainstorm_ZH003 暴雨 1 6 5 6 https://www.baidu.com/s?ie=utf-8&cl=2&medium=0&rtt=1&bsst=1&rsv_dl=news_t_sk&tn=news&word=%E6%9A%B4%E9%9B%A8&rsv_sug3=1&rsv_sug4=36&rsv_sug1=1&rsv_sug=1
大众网 rainstorm_ZH004 暴雨 1 6 5 6 http://so.dzwww.com/web/search?searchscope=DOCTITLE&timescope=&timescopecolumn=&orderby=LIFO&channelid=205667&andsen=&total=&orsen=&exclude=&searchword=%E6%9A%B4%E9%9B%A8&perpage=&templet=&token=&timeline=
新浪新闻 rainstorm_ZH005 暴雨 0 6 5 6 https://search.sina.com.cn/?q=%B1%A9%D3%EA&range=title&c=news&sort=time
天气网 rainstorm_ZH006 暴雨 1 6 5 6 http://www.tianqi.com/tag/%B1%A9%D3%EA/
央视新闻 rainstorm_ZH007 暴雨 1 6 5 6 https://search.cctv.com/search.php?qtext=%E6%9A%B4%E9%9B%A8&type=web
天气网 avalanche_ZH001 雪崩 1 6 5 6 http://www.tianqi.com/tag/%D1%A9%B1%C0/
天气网 coldWave_ZH001 寒潮 1 6 5 6 http://www.tianqi.com/tag/%BA%AE%B3%B1/
天气网 frost_ZH001 霜冻 1 6 5 6 http://www.tianqi.com/tag/%CB%AA%B6%B3/
天气网 hail_ZH001 冰雹 1 6 5 6 http://www.tianqi.com/tag/%B1%F9%B1%A2/
天气网 heavyFog_ZH001 浓雾 1 6 5 6 http://www.tianqi.com/tag/%B4%F3%CE%ED%CC%EC%C6%F8/
天气网 mountainTorrent_ZH001 山洪 1 6 5 6 http://www.tianqi.com/tag/%C9%BD%BA%E9/
天气网 snowstorm_ZH001 暴风雪 1 6 5 6 http://www.tianqi.com/tag/%B1%A9%B7%E7%D1%A9/
天气网 thunderstorm_ZH001 雷暴大风 1 6 5 6 http://www.tianqi.com/tag/%C0%D7%B1%A9%B4%F3%B7%E7/
天气网 tropicalWind_ZH001 热带气旋 1 6 5 6 http://www.tianqi.com/tag/%C8%C8%B4%F8%C6%F8%D0%FD/
天气网 volcanic_ZH001 火山 1 6 5 6 http://www.tianqi.com/tag/%BB%F0%C9%BD%B1%AC%B7%A2/
人民网 comprehensive_ZH001 综合 1 6 5 6 http://japan.people.com.cn/GB/35467/387511/index.html
